NU_INSCRICAO,NU_NOTA_MT
c76ddf6e9f80984e901b12f9462a3cf029bea290,519.59
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,445.519
92823d467a2ced9529801e0e8a94802dd88f0c17,434.604
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,559.305
413cbb38b2e2522f8167ffb9daeac1347b281393,448.057
68985fad004092956a4b4ce94dd53dc76d07eaf7,444.919
bdca9aeb19521675af15f2c28d86f6bebc45a834,451.706
b65b19d42b7a4b644fe9f99366dcb37b120862d9,434.316
eda898aa8ec465cbac70de72ead0c6d688e5f95a,436.16
8d5c4481d736f6ce27976e400f4245bf10757608,433.431
c4cea54435c0fd0e171eed4c215479bb3ca86113,434.829
7d5cd89c6112b9a202a025a24355135bc60848c6,449.876
b70ab62384aa80545928a311f5b5d3db2f4d87ee,528.868
c96431dd924f366d2229a7f1455388b8cd85be49,563.249
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,437.47
e724482370ae6126008ade80b564ad8d8a0a7cbd,439.823
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,571.229
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,473.965
7f898f8939ae054359f83ee154bb91bc7dd2c959,459.154
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,443.671
82e3b12c6366008fabc238f299f117074e78de5d,434.091
0d838be0e718ceb786cdb10fcc12559e00440240,482.555
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,442.142
c83fe640ba466ba904ac1055e53a875289888797,437.55
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,444.305
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,433.578
328639a0c753715c30a58bae70c82f2101153eb3,436.169
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,497.165
f56746cc2900258507d2b32c126f8db090db856f,440.238
1a4963b5fea8bb25c67750cdafbe84b01efad177,433.561
b520c940e62f4ed684417e7eacf00d85752060da,479.457
2e170cf2651ed448991af6fc5df15167733b2d8f,455.556
6efdd93a0ae289be6bb5a400bfc1deb077d75886,434.019
72ac2acc787d8cba0934cca3810ac091d792c8db,467.391
92a25eee14554806f081869cc9dac868fd1860fb,435.073
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,437.166
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,441.818
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,576.572
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,435.303
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,449.747
1a46d99716282410d1170f0f35069b34e34415d4,442.479
0467e022da4ef897f666bc76f31e1bc8976f7e92,458.236
993aca0d5eac6741117947c82a3647102096255e,435.419
94c96ade6ade21deb080bba6aad537fc4f195d47,452.864
36bb672077a46a3e4755cef90437a616d28bdf23,437.1
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,433.477
328ca19128d276eb4fbc309c54ec7f346c803d2f,578.485
27cdb62f0a2a5467efeb30aafbf246ed2320c532,436.985
f9ef2695eb0986666093945894b8f2fee351bf22,515.852
8a021391cdaac100dab56c59284bd50137a74129,556.118
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,452.502
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,438.166
b9f786712775e0d1d735398d710b01f404c985a3,433.551
564958997e204bda06fbe90afc4722805c78a855,567.274
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,434.898
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,468.132
8296743fdd105ce9183561cf5b359b0a3781465e,436.116
6602c7f15a1fdd082265b64976448c6809df792d,497.765
31ae66f0fe024acae4490915c348e487f2367574,464.139
81901aa980653106e64863d957387d24e2c00af3,436.254
28e10d1bd0b6effe0edd503446ebda948ad240ad,435.628
53a7ee52a87f80241e2ca13c923e06b72bf3a059,436.855
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,542.632
02681b5c893b94db204713cb4b20dde6fc3f2f95,472.591
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,433.627
28c6829e69879bc1d34db1cd51b89562d3cc596b,457.904
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,443.468
923538833160e8432636c88e8119378a43b3d766,437.115
aacb834258765a2959ee63c57d2be4923d11a696,438.177
c32e484025571dd94255a77f21de08ab8d2aaba8,461.188
d425deeec0a3c7006f14d732eff8933d5155067f,439.436
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,445.856
716a178e9a6f7791b820da77879943ac9040a547,468.037
430212cd8767ef2bff8cda0f61729203fef7523e,434.272
e97d33221238e445688a0e984778d4ecac788be2,464.884
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,464.34
0411742cbb54fe1b6927b25f0bb52b885828c828,438.66
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,433.613
e4e7a38b58319ad0a5cde4848622b21783c907e9,466.127
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,563.032
aec1b63c3f0c9554e533752d8fe138ca82101d4a,434.783
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,455.177
4b48d500ba4410546ce01f7f6d44bcbafa73994f,433.77
edf33c347c866d26872f540bcc1f6ae415f3294c,446.867
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,554.001
3a265ea6ebdc4eb2520db912adf5592f03b3d634,433.56
e418fbb77e6ff4103205f3b7f6a66d53183d809b,437.538
8ddbfe70cd41135cb6f125335a48d100789edbf7,433.254
1d3e406d0223d4cb0328850d689ba9fcadf62776,436.772
ecaf075653faf2dcdf946c0ce50629f5083347c0,437.297
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,445.925
5b7877d12550dd35d27a02b66a13f2a27bce11ca,440.819
18f800ec03e33ebad5fb97aa8465dd3e5961337e,437.591
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,497.118
cc8794762ffa592758b5117d67e0d02e2e8b9c49,529.476
894d277c608610fa8c31db531f64582b9569b2e9,439.78
b2e029961aa0f20071b74708e0d97e6f200ec582,438.321
12c7d85e168b09a0278df140a22bcb0052a59b0a,436.769
64c4892488a9c6281bdabf467a0b5a6382d248e6,468.525
ac112e94587e6e4249b7182329ee5a5040ae94ea,518.883
a58cf11e498228f9aaca92b0c49f955a6163fb59,439.806
e8c84701c041b7f3b39f3125a0449fa633589fbe,469.405
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,516.979
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,436.273
e64ad901853230e396be49311ea98121c348fac6,471.625
8532af19be3729ea233c1f29e4c015820fc7fb3a,455.019
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,436.965
26853fd075fe27954772c3070997635b94f32b83,434.035
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,525.183
574ec310dee846f9ae8eb278480257d463f6fbcc,450.273
8a46e35787225c3e7adef2b998ad9c93a952106b,485.743
b62bf908b504e8c6898777a7f5b88afed358caea,435.056
10d22971ca4f53fc62d02905809ff1c37fbb68fc,577.333
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,440.908
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,571.342
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,438.634
d76614020539405f481c0f5ffb9e6f88a0bf21b7,434.841
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,450.776
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,436.805
176b027cd932b17fcb6f119cfcef338a175062b8,433.155
41474f2dda61d97f38ba79906d3dbcce223d1bd1,441.422
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,459.541
d4e97da32ccb6987ec074aa48c24ce949c05a78c,438.938
95c1d266a2524560761df98b376c17604733a6ad,545.039
c11c4303d2632cde64105a35554ecb77a8564260,449.512
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,438.101
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,577.574
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,435.101
580c34923cbde328e0aef1641dd02033fc862c04,440.257
29d8bf198da9caa59047268faca60207da24d1b7,501.958
1b3f80a1cd9fff0408e96169fcaf006936b34fed,436.259
b5932043b62e0c58e16e2cc2c9d5489390e5c895,439.194
99092cc60948943c59d68d62ed81a75a03059113,442.172
dd69fca6f17420dc911016a79e70583ca7ea330d,437.022
d387995af060965fb9d18973f3dbf4904f071066,435.852
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,449.166
543674772357cf9d8a7a8e7dfb89384af80ec30e,450.223
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,433.963
0736d379ea0962e316ce84cce8e883321be36abb,434.107
98cc842c547c69a0d27776e272fd8b61131b0b37,434.124
890b7696fa85ca2b3e90b3951efec2135e88d5cf,435.654
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,576.366
d84b48f7dc7a6e387e6e985525143589754c5b13,444.844
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,475.593
dc4fe9d4124d9278f58f6f999711116a3fe58be7,444.8
f6624d763619c0898b34dc02adf06f53a1721cd0,438.285
60b1c12559860e7ad966da4c4db5c78e17278fc0,453.811
4f365503582b97ea96462d0d36895a5e7f5926df,434.412
c80869804effb21d50cc8fff3f4c27ba5521240c,434.304
d0f351638d60e84b890a498d69c9a7961cdcdf36,435.966
48e8ec135997ff3676648d5c144c3c7150a7bbb1,433.37
45484014aefd10ea3e4b08fb93e66c251709cca6,435.473
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,443.203
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,433.313
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,574.795
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,434.16
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,576.694
c83c66733c5bd90a59996e473bb69e44f6522976,433.839
87f89c855f377c5b100ad2986cc6569e31d94a98,526.734
eaecf3dd32668664e1dcc2d6c7a69042824806a6,437.058
c59b370d3aa06b68878c836bceac844953d74972,444.278
b2128312e70fdb830091aecb6b27d82617e2e226,434.662
8257941af168c0cc15f28bd596fd922352dae732,433.504
854ce153823802674f35bbe1ec010b12e9b3a56f,434.853
27f1db4e266b154f6f7fbef9c225fab472652a7b,433.823
11b90bed4a05d11169f308370faf81d6e9ca2c4f,435.406
e001e1d73163c327a4d800697b1b36cd6921f60d,445.249
b83424ca8973e4b2eebf6eb9e26e842999432d22,433.507
912d751c54b46c860c5ba61666fc6fc59ca2689d,433.12
e114f7b197069bde8e158a0dbeaa022dd0c4e280,438.838
fa84edf183bd459ea9394d77bdc191683a75ff66,566.998
76190ff09a736ff83169394b770699b2709c5a27,451.122
515db15df8581ae72bb8e8358833016adee74e02,440.514
e2a05053c19e6fba60d0e582e6c7f371728a7106,439.957
2378556841bc8d5746f2b94d6adefc2db20f9518,533.507
796d558152d241567f8a72b535a5e36fe78886f3,437.154
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,511.12
3c748fc7a94edb7ac1484373751ffa8574a3281d,435.797
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,434.641
10a1e8808e744c619376bff659f859cd71e8c41d,435.314
fc959dafc37dde3f173f083486d84ce5c817443f,434.596
6979d91c0a1903a336c640e14eed100821a0e24d,464.257
d4e37c4c1235ce014392f6c8ba0436f195b9e459,473.757
565a955a60c6073157aa869c0351c626a7171ef3,559.608
99be797e423b5ae08fe342ea772738f71975df47,572.96
b579ea83f2d6c15b2c717d16a89827d65f39904b,446.518
e9373b5c22567bec508f2fa2580e4dc3ff687caa,573.351
a465af361b68bd536dd8bf61d522b9b21755ab60,450.537
c8feec2a94d996d03534ce935dec7a034667f107,578.459
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,458.773
f4f7888cfe88b7a3b0f3d94749921976353ae82c,447.195
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,451.884
2e466f15ac7b80870736fac2d0cf4bd7f362e852,439.475
fc83a5c665f70f39b4c7d326118cbf21a898e660,574.577
ced4913c2220be57c54bc9f87bb4f441d5976671,444.757
880ade460a231d722e8bb0e4d17f3c8f77663d37,435.013
7c869f5b89ddf3130c87011b6508ee59e32682c5,434.378
9027f65d4e576928ca59690c280050c53d66506a,578.07
09eb415bcb9842d207139c8bddf32427a134d51e,515.947
f8224c83e27f4921df62876f7ff660b1dab3d974,450.049
dfec3182aec0997207e0845b072498065ec89aac,578.218
d653549f6d0ba70e2113b2cc56e9a83e331d2462,563.084
e95674df974af80342f676ca9e3540aecec2b8dc,450.098
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,472.458
22d86e8b43a9412df86ec15ac231b9919e3ec905,434.869
1c61035799f6afe7f44c1fb68567d7a8945c3943,573.18
d5ed4b8732b0d7127a64f7e71137d321c56cc198,433.9
63edbbe59337f861a710bee4fe8a691d231f23da,433.709
21b8ef230efbfca6b5f15b36a3243d76ed390967,440.226
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,433.578
3de3c134579726fe4606b7a05f82ce19f00adb09,575.723
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,435.796
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,434.119
520c60d32fd2af8be76abd332859b36d8ae45900,436.046
6cb6e2310b52c2898e500f81bea938446592568b,462.539
0193b535914e1c5a445bede11a408bf1709cd3cb,459.957
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,506.006
9b378e3937af8e97d4753cdf0c8917306354aaaf,436.483
1c92f54a5fe563622a0e23cf116461a7e147efd8,513.622
90facc45f7578775e3278aa0bd4fb59dad4d37c1,435.178
c8062c4cc7e023996bd37b87295f5a2957ddb172,441.009
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,548.864
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,451.155
1b61f7e184c7040ae4cea725153965e1f7f75308,436.641
95a9c65324583892b2d1a0c1c5163488f92d4a6d,434.446
5b7e7632cf766876026d0da6aa7c6df77bc13438,434.118
96fd0462597b8cf21b1e918c1947106cd8359e5d,463.755
5c1cef937c40bf8c30c119160bedde7ef679454e,576.027
e39fbeab552a4b6492346d821d095c3a0d691555,434.437
93694c58636eabfe86550e734efb3775ba4d739f,464.563
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,578.322
6c05e70130682975c1485a862b6e08b895650671,438.063
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,433.392
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,433.394
283df09083d3c7bec2590f22355c7ba32ec88623,445.251
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,549.224
23131f453efc29c2af9553d307692c60a3add1ae,443.786
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,437.903
941646a7d24ee2837d7de90ff0a736bb8f61d68c,433.882
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,455.826
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,437.807
72882a9cffe151d94be90e02ce3967a91b628099,449.95
cf62916c9829bd3ad05104151eee856d6de7ca1c,568.657
6b8f4241357e65c0491cc0ef96396f811574134c,436.635
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,433.389
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,437.254
8288badec4740382dbf7c33e4095cd4db0021bf7,433.949
5e139289eb167622f915eea3d1d6e49d15d1c873,481.625
fc050b2c8fa3446890fe1418332352177dd34506,437.149
8f309746992f374b4c2ea88f171233a9469ba649,442.598
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,440.587
145b6344526f9df32f4046c8227282477c51d69f,447.085
a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,456.276
b23775f4cd460ba687d77b058f2bc46381a0fbfe,442.566
87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,557.519
d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,441.048
2bf8abe8000927aeff885fdb26e82579b54bb657,442.652
dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,523.716
3ef584654da4e658ecdffb68bc4398c97f850ccf,434.876
ea90166cae72eec871b4100ed8df997253bea84b,470.033
0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,451.647
39e7d2bf0be98a9698aa1369b7ca5576d392a777,444.046
01d88812b1d865b9797b9c57ed7538527593eb1d,571.682
879d82fe92a01214851fbeb62cd533fbc9d4ab87,495.288
bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,446.537
a185d42f150631e1f22e1d81f965dda9833d0bec,435.22
c5994a51d6c24ee4360aee344cebf55bd01c39e3,482.87
bbe2574187920d91ca67a657c5a476f92f8ac142,486.446
8637d558542ccd4a1cd1d3ab336711edad60a966,444.389
30fd3c461823b211ad79159256fdb3eb101deff0,437.994
88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,439.806
4d12becc50fceaa6423313e98858cee7d438cc36,508.064
5c55594ff65d25732d6104cf60588ae877cb6e9c,575.753
ebd6ed760a482a95ddc04d78254761296ea73608,451.17
4ea487e7fd10b89407bd3c72366366f5b505847f,549.905
0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,443.42
49a9374bc759c6a4d1f8fce5ade5908afe72803c,437.609
4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,440.643
0f31c91179f811dc6de3d071914cba2716013473,439.025
0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,452.885
a945e7b0eedbc6722edf61c6e9115199efa0e79b,572.266
b52cae71211465e9b76723d1dab3cbb973a76a5e,435.056
c64825379cc10911781e842c315951b835c0246d,435.769
3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,491.36
d077ad9b71684906e32bdfefac01c893ff875c40,445.711
0e02316fc08deb2a0ccf7b606d3564cf17d6763a,438.165
44cb1704d691a020beab734f494635e2603af38b,437.349
c1605ac858a2c5e7a3d674bc0dc56b9bf9fc9b67,450.182
623b39408740e01c79d585779f119b7bd31aca5e,442.146
0954f039d7ce9b83b763b6406d3be54af9d386a0,447.234
feeb6dcbdd5c1d3978768ecfba0f415b01b8cb3b,447.284
bc764ff3e2905ae18491fcc46b2cf1812bf43771,574.821
4d0b3bca1ec9337bb27b9d6710702ebb79a90046,467.591
b62836e36b6a37a18823b0176647b31ed84bd759,442.346
48b56e1d641022967e5b2791de675d524b685afe,435.84
6432732876989f4279e03bea20c37a21e0ce488d,578.386
c322f8d156e174e549a44fdde96be32358ab85a3,460.228
92f7742f9719e14801466a45e33f904e27be2b17,443.08
8f00986f46ca0c0eb14d9d8e811919bb76d29fed,434.067
bfa438beba3914291e0978747404004f6ac79179,434.94
9f7b8de3a22fe246b22d46de9b4c1d219eb1dbba,434.835
7db2c8ad5fbddb754318a9f7d0503ef849ef5729,433.75
9ee6755fd1b35eb53b9ec0d1afeddae8b1d8f38c,439.801
ae6a72fb90a0c32b27c4aa45ff692c3783de2290,438.92
b10d3fcde629e4b68758d3dc58911a113837d255,459.419
2f63a217a4f812d4bb8e3a4a569d43ee7b36a2b2,436.25
587f219b07191d201677be07e43852b73a5dfeda,453.192
c669af3c60a62511990ed5f486c525285df59750,450.835
0dc0351a9da12f74bd5ebc918d60f9580be35182,436.694
20cf36f1ab557d2f44d1fba0291054ecb26d8a8a,433.848
d053a386f5497719e02334cc444acc545258bc3e,491.999
446a666ce7e015158181ce032e318a2ceffad8e1,453.307
ad896f169fe2e02c8cda5553fc0cb4aa100fee20,433.839
80069d0ec6aecb2f74d973c5bdc5c53ff2a48413,455.316
dc56167fb0ffcbf92624206591985da23ba078a3,443.114
10f8e410cadeee997d11e86ed5749c98c184f102,445.417
9c0cedfb49df5633bdc16bc263e8f574a1e283d2,435.222
b18c91072332db5e81e51adf0ad4a18c682fe025,433.463
0d6cc0da68e9b6242b5ce66bbc0ed812fc559874,436.831
040e479d45f83b7944be895d04b035489e544ab1,444.563
b505434998285eb78dfdb4341e4a29cc13a2130a,436.047
b16fb245d399e311b54c8f9edbe23b0814c8b6d7,435.483
1167115298a1ed2c659e1e365224311af48ff8e6,457.307
ce62d6ee9ae7ef876a5642ccf61e1acf7f6aa12c,433.07
386238d9cc8f497486ec335159e3d3fb59d9d57c,519.187
abafba1eacd1b34ef2e197683cc1d19e7c47cd9d,434.344
961f5a44f06750c88181c1809c6d002252b8d4e9,442.171
24605a2eda427ea715d61e72f5e40d6afd31bcfd,554.188
9810f9ad1fed4a44dd3150d3a93c2321402176f7,434.945
0b01e142abc07e710ae4f8a315866d95f16d592b,451.303
ab9b69839b48825032b5f4778eea40e321c1ece5,442.034
3004e0b4f4b454854f0bb254473aa012e17071fd,578.279
84083dec8994b0da91c7be5bd5cf540a92d367f9,433.324
c7edc5daf30c7d84bb0b858deb7b6f0cc58fcad7,468.038
55a278c454fb7415451563c61ed46f5d9dc352d6,474.539
051c748ebab016611de489dfc13b6616d1070361,447.983
e2f476ff901b0c67a7df201c865aca3219bfd803,530.555
7ae5a82f05c571cbccd3d1057aa2ee320633335c,448.02
1c86c6bc97a76e31219f8902c13627c0de70c6cb,455.307
e6b0a19633e93aa0e26b5644d0142d79c7526d5d,436.55
acbc30d483ea45980ae8919a1e608acbb560d796,506.677
d4cc2188bbe4365cbbec0d8e697f5f982d217c55,481.371
3c049c9981020ef5f6968e0eec4e6969fd2f4b0d,435.209
a5c39ced20251de476553163291f5141f9b66d1c,435.083
6d9409ae58f72c208c0ad1c8168080a8deeef8a2,436.023
85e6b7523bb635e5552fa91b4a79122118918668,455.706
5443c9e35006e84510c518efc894c075b606c83f,442.513
80b9f96ee31137fbe9158841eb193d26d6dd762b,443.9
6091d7a1acb022b664e212bbc322932384824ab4,437.239
828f1541b637d7781583e98f754bbb433f2d1dd8,468.81
aace2a613988d1619385514862b227ec1a616255,433.375
45a6fba80a860b768d6b4172b97e35f0b06db075,457.213
4b93629e017653c27a7ac99b9ed6fafa003a6777,457.29
ddd68576dd27c673687d8b04057adc396a75f566,436.632
ed9e6225f3914f90c61a39572bf1ad207688a3f0,484.514
270692d94f5e7f0d9dca2a1acf8f3ab24dbe1bf1,567.725
afcb620ab13d96348763196f200b6bf94ab1c060,440.533
7cfb1d64261039d25784ecc70e9bf286ac9492c9,436.38
4cf6407fb9c6a86e31d6e45ed7ba4e0531279d40,434.958
5dc2bf0223a2c68ccc7a74e5c61571c31eb62343,435.077
d6c682e729a33858ccdaf54a2a3c625c82ddc108,438.305
793d1bfef9d9f220421ffb7b334d6cc0bd005a59,517.195
0ff0abca7be65e556773ff1395550ef791c4d272,462.728
af5143b6372ff9e30d17884cead389c15fefde19,436.206
d1f6e0c6d574a1def695974263f5e1461d99e90f,574.71
31c2a0c6107ea4c62557f793221b4c341b73b958,433.395
650ed2fdd80680c747363dd1085dd191c60a0d8d,482.473
548cda0eb6595f3e63ff696ba2c76968d822e92e,434.868
6e54fe08c0b09ce7e1e97e331fe394ef9bc90ef7,438.845
4c314024a3148ca131970a181ffb67bc108c25f0,435.393
9175008ab4a7ec7a5eb989e56a73c49ad37a0da0,433.925
8276b13cbb842748278f0bb9434d9aa34b8764cf,572.669
dde3ec7e3489818a870e8346cbed7dd39ab15b55,458.992
3ee2b42396bdf4bc036a6cba96664f8ae93c6b8e,433.662
726756441f525880e8b6987fe2cb3e35b8bac203,445.425
cea2338f7449ee46b5492f075395096cd6c6f939,491.374
cbec7350314259d2ba8b3ceceb58a210df4bc681,462.003
9c24a3786f38a3b87cfbdf5a9a920e8d87a32fc6,436.069
02120ff284b0881ece778d68b6adf523440d0a43,523.779
0858ed38f44ef60f451b7a7fa78c0ebc08447ea0,564.188
37479cc6bea164d3d5a329917e99bf1256ca65a0,467.596
59de7100f8842a0de4e46a76d80fe9d2aae7501c,439.63
dee367db96e2cbf6b2a914ae684a5b212cdf5b62,482.749
814e4068b1c6635a9d815252bfb52588654bfa9a,454.095
3db74518ad8faadf00daef29f2aa1d9c2456677a,433.653
5c932a4bce9b2d1d17244a0ff664eb8079842b1b,444.59
ac9116f93ab30680484fecee10333e60a3400ea2,434.574
c23759ab3cb0c1798bb12b54a262ef445806afb3,434.247
c1172ead1d0a8e4dfaf979e48f44e50c8201b879,433.394
2500339c0390a5cf28e1e8df0477e13fd4cdd674,438.784
b586f97dcd32cce5a58846e9451b362bb2610fab,510.461
ca29c819e5edfb5a2af0cc739b092c671cd0ef61,538.36
161dfb26aca998800deca1eeb4fbfe89a52feb49,465.491
f630e84d0fd9bff0d01e51e94ddf21d2d7458d0f,485.441
d7aecd6b60d8431c2c1e0751e9b9d7a9bdac1d34,449.671
8eba2f0dcd23a99655dec302ddeeb45a96353a2a,442.4
dd732838c9fd669241c08abaa56c01e8df68d05a,434.071
ced936a58ffe6323bb917e8aa72dd83e6bf6c1bd,440.776
bbbd21500338762a2e766e1f1e329f56dd1ad7b5,571.768
2bf1e3cfb43778286f4b43c4e1623b4ed5fa2d00,474.56
7f0e7b3bda0941ef1862a12cdeb7320f4e11bba9,433.72
9a40ea9a985309c004b97d695bdec0005ec0e34a,436.62
d9396c10798f8fdeb0b2d7a07e287e26ed47a523,433.096
85615335c72589bd0172d257b352b1c4708660eb,488.294
0a0a040855f52d4ae73d3ecb7ea397c9c8b9c6e7,449.44
fa883407d61fec85d241503f3ab570c000a1b2db,478.257
a10efd91e30aef4700b875a2aa7758834913312a,433.225
cb6093db7de64440b441bced08f3e0cd07f65ea8,457.422
9633c263d32bd988f14096eabc30610389b0627d,439.211
7cac92147c231453d98ad465b2c4a8bd28efd7f8,552.397
